wdid,name,position,startDate,endDate
,Óscar Bonilla,"Minister of Agriculture, Livestock and Food",2020-01-14,2020-04-14
,José Ángel López,"Minister of Agriculture, Livestock and Food",2020-04-14,
,Mario Rojas Espino,Minister of Environment and Natural Resources,2020-01-14,
,José Lemus Cifuentes,"Minister of Communications, Infrastructure and Housing",2020-01-14,2021-06-29
,Javier Maldonado Quiñónez,"Minister of Communications, Infrastructure and Housing",2021-07-01,
,Lidiette Martínez Cayetano,Minister of Culture and Sports,2020-01-14,2020-09-10
,Felipe Aguilar Marroquín,Minister of Culture and Sports,2020-09-10,
Q83877495,Juan Carlos Alemán Soto,Minister of National Defense,2020-01-14,2021-12-21
,Henry Yovani Reyes Chigua,Minister of National Defense,2021-12-21,
,Raúl Romero Segura,Minister of Social Development,2020-01-14,
,Antonio Malouf Morales,Minister of Economy,2020-01-14,
,Claudia Ruiz Casasola,Minister of Education,2020-01-14,
,Alberto Pimentel Mata,Minister of Energy and Mines,2020-01-14,
,Álvaro González Ricci,Minister of Public Finance,2020-01-14,
Q106615484,Edgar Godoy Samayoa,Minister of the Interior,2020-01-14,2020-06-04
,Oliverio García Rodas,Minister of the Interior,2020-06-04,2020-11-03
,Claudia Haydée Díaz León,Minister of the Interior,2020-11-03,2020-11-19
,Gendri Reyes Mazariegos,Minister of the Interior,2020-11-19,
Q66381168,Pedro Brolo Vila,Minister of Foreign Affairs,2020-01-14,
,Hugo Monroy Castillo,Minister of Public Health and Social Assistance,2020-01-14,2020-06-19
,María Amelia Flores,Minister of Public Health and Social Assistance,2020-06-19,2021-09-16
,Francisco Coma Martín,Minister of Public Health and Social Assistance,2021-09-16,
,Rafael Lobos Madrid,Minister of Labor and Social Welfare,2020-01-14,2020-07-01
,Rafael Rodríguez Pellecer,Minister of Labor and Social Welfare,2020-07-01,
